"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Gene"
"11994",0,0,0,2,0,0,0,0,0,0,"Tram2"
"11995",0,1,1,0,1,0,1,2,0,0,"Trank1"
"11996",2,5,4,2,4,3,7,5,5,4,"Trap1"
"11997",7,16,9,7,8,3,8,8,3,5,"Trappc1"
"11998",1,1,1,1,3,8,2,4,4,6,"Trappc10"
"11999",2,2,5,0,0,0,1,3,1,1,"Trappc2"
"12000",7,3,10,5,9,8,7,4,3,2,"Trappc2l"
"12001",6,2,2,12,5,6,6,11,6,6,"Trappc3"
"12002",2,4,9,2,4,7,4,7,3,11,"Trappc4"
"12003",3,0,4,2,1,0,1,1,3,0,"Trappc5"
"12004",4,2,2,3,0,3,2,0,0,1,"Trappc6a"
"12005",4,1,4,1,1,3,0,2,0,3,"Trappc6b"
"12006",2,1,3,1,2,1,4,3,0,3,"Trappc8"
"12007",0,0,1,0,4,3,3,2,1,2,"Trappc9"
"12008",0,0,3,0,0,0,0,0,0,0,"Trdmt1"
"12009",12,12,2,11,23,18,11,20,19,8,"Trem2"
"12010",1,0,4,1,0,0,3,1,1,0,"Trerf1"
"12011",1,3,0,1,0,2,0,3,2,2,"Trex1"
"12012",56,62,33,33,72,49,17,150,137,79,"Trf"
"12013",0,1,0,0,0,0,0,0,0,0,"Trfr2"
"12014",0,0,0,1,1,0,0,0,0,0,"Trh"
"12015",0,0,0,0,0,0,0,0,0,0,"Trhde"
"12016",3,0,2,4,2,1,4,2,2,3,"Triap1"
"12017",7,1,2,6,10,7,6,1,12,5,"Trib1"
"12018",5,14,3,10,5,3,2,3,10,7,"Trib2"
"12019",2,8,10,8,6,0,6,8,14,12,"Tril"
"12020",2,0,4,0,2,3,1,1,4,0,"Trim11"
"12021",0,0,0,0,0,0,1,0,0,0,"Trim12c"
"12022",2,1,1,0,1,1,2,0,0,8,"Trim13"
"12023",0,0,0,0,0,0,0,0,0,0,"Trim14"
"12024",1,0,0,0,0,0,2,0,1,0,"Trim16"
"12025",2,2,4,2,0,1,2,6,4,6,"Trim2"
"12026",0,0,0,0,0,0,0,0,0,0,"Trim21"
"12027",6,0,1,0,0,0,0,3,0,0,"Trim23"
"12028",3,5,0,1,0,0,1,1,0,5,"Trim24"
"12029",0,0,2,0,2,1,1,0,0,0,"Trim25"
"12030",9,0,1,3,4,1,6,1,1,2,"Trim26"
"12031",3,3,0,4,0,0,1,0,4,0,"Trim27"
"12032",13,7,10,6,7,8,16,11,10,15,"Trim28"
"12033",4,1,5,3,4,1,2,3,4,3,"Trim3"
"12034",1,0,0,1,0,0,0,0,0,0,"Trim30a"
"12035",5,8,1,7,2,0,5,3,4,0,"Trim32"
"12036",1,1,1,0,0,2,1,0,0,0,"Trim33"
"12037",0,0,0,0,0,0,1,0,0,0,"Trim34a"
"12038",7,6,7,2,14,2,6,11,5,9,"Trim35"
"12039",1,1,1,0,0,0,0,1,1,1,"Trim36"
"12040",2,0,1,0,1,0,0,1,0,8,"Trim37"
"12041",0,0,3,0,1,1,0,0,1,0,"Trim39"
"12042",3,1,1,4,3,3,6,2,0,7,"Trim41"
"12043",4,9,4,5,6,2,6,8,7,11,"Trim44"
"12044",2,2,3,1,1,2,4,3,0,4,"Trim46"
"12045",1,1,1,0,1,2,5,1,3,0,"Trim47"
"12046",0,0,0,0,0,0,0,0,0,0,"Trim56"
"12047",0,2,2,1,1,4,2,3,1,0,"Trim59"
"12048",5,1,1,3,3,3,0,1,1,0,"Trim62"
"12049",0,0,0,0,1,0,0,0,1,0,"Trim66"
"12050",1,1,1,2,3,0,1,1,1,1,"Trim67"
"12051",2,0,0,1,0,1,0,0,1,0,"Trim68"
"12052",0,0,0,0,0,0,0,0,0,1,"Trim7"
"12053",1,5,8,2,5,11,1,12,3,6,"Trim8"
"12054",6,3,9,26,7,4,12,6,7,8,"Trim9"
"12055",2,6,2,7,1,0,1,2,0,3,"Trio"
"12056",1,1,0,4,2,1,3,5,0,6,"Triobp"
"12057",3,0,0,0,0,1,2,1,0,0,"Trip10"
"12058",0,0,3,1,1,0,0,0,1,1,"Trip11"
"12059",5,1,3,4,0,8,1,5,6,8,"Trip12"
"12060",0,1,0,0,1,0,0,0,0,1,"Trip13"
"12061",2,3,1,1,1,1,0,3,0,0,"Trip4"
"12062",0,1,2,4,0,1,2,0,0,0,"Trip6"
"12063",4,2,0,0,0,1,0,8,2,1,"Trit1"
"12064",2,2,1,3,1,1,2,0,3,5,"Trmt1"
"12065",0,0,0,1,0,0,1,0,0,0,"Trmt11"
"12066",1,1,3,2,2,3,0,1,1,1,"Trmt112"
"12067",1,3,4,0,0,3,0,0,2,3,"Trmt2a"
"12068",1,2,1,0,1,1,2,2,1,1,"Trmt2b"
"12069",0,0,0,1,0,0,0,0,0,0,"Trmt5"
"12070",2,1,2,1,1,2,6,4,2,0,"Trmt6"
"12071",0,2,0,0,2,1,0,0,0,0,"Trmt61a"
"12072",1,0,1,0,2,0,0,0,0,0,"Trmt61b"
"12073",1,0,0,0,6,2,3,0,0,2,"Trmu"
"12074",5,3,4,2,3,4,7,2,4,3,"Trnau1ap"
"12075",7,2,3,2,0,3,0,1,0,4,"Trnp1"
"12076",3,2,7,6,2,3,4,2,2,5,"Trnt1"
"12077",2,5,8,4,0,3,6,2,2,3,"Tro"
"12078",0,0,0,0,0,0,0,0,1,0,"Troap"
"12079",6,1,0,1,0,0,1,0,0,1,"Trove2"
"12080",5,0,1,6,3,3,5,2,0,2,"Trp53"
"12081",3,0,2,1,4,1,0,1,2,3,"Trp53bp1"
"12082",1,5,1,2,3,3,2,0,0,1,"Trp53bp2"
"12083",3,1,0,4,0,5,3,1,0,3,"Trp53i11"
"12084",0,0,0,0,1,0,2,1,0,0,"Trp53i13"
"12085",4,6,2,1,0,3,4,3,0,1,"Trp53inp1"
"12086",21,39,45,49,39,13,13,33,36,61,"Trp53inp2"
"12087",0,3,0,2,4,2,1,1,2,8,"Trp73"
"12088",0,2,1,0,3,1,0,0,1,0,"Trpc1"
"12089",0,0,0,0,0,0,0,0,0,0,"Trpc2"
